Timestamp,SSID,BSSID,RSSI,indice_agrupamento,nome_arquivo
2023-12-14 16:33:31,CETELI_P&D,56:A4:3C:D1:03:C8,-84,1,coletac1.csv
2023-12-14 16:33:31,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-84,1,coletac1.csv
2023-12-14 16:33:31,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-85,1,coletac1.csv
2023-12-14 16:33:31,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-85,1,coletac1.csv
2023-12-14 16:33:43,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-72,1,coletac1.csv
2023-12-14 16:33:43,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-79,1,coletac1.csv
2023-12-14 16:33:43,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-79,1,coletac1.csv
2023-12-14 16:33:43,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-83,1,coletac1.csv
2023-12-14 16:33:43,VISITANTE_CETELI,36:A4:3C:D1:00:24,-84,1,coletac1.csv
2023-12-14 16:33:43,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-84,1,coletac1.csv
2023-12-14 16:33:43,CETELI_WIFI,26:A4:3C:D1:03:C8,-86,1,coletac1.csv
2023-12-14 16:33:43,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-86,1,coletac1.csv
2023-12-14 16:33:44,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-86,1,coletac1.csv
2023-12-14 16:33:44,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-86,1,coletac1.csv
2023-12-14 16:33:44,CETELI_WIFI,26:A4:3C:D1:00:24,-86,1,coletac1.csv
2023-12-14 16:33:44,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-87,1,coletac1.csv
2023-12-14 16:33:44,CETELI_P&D,56:A4:3C:D1:03:C8,-87,1,coletac1.csv
2023-12-14 16:33:44,CETELI_P&D,56:A4:3C:D1:00:24,-87,1,coletac1.csv
2023-12-14 16:33:44,CETELI_P&D,56:A4:3C:D1:AC:68,-94,1,coletac1.csv
2023-12-14 16:33:55,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-77,1,coletac1.csv
2023-12-14 16:33:55,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-80,1,coletac1.csv
2023-12-14 16:33:55,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-81,1,coletac1.csv
2023-12-14 16:33:55,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-81,1,coletac1.csv
2023-12-14 16:33:55,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-81,1,coletac1.csv
2023-12-14 16:33:55,CETELI_P&D,56:A4:3C:D1:00:24,-83,1,coletac1.csv
2023-12-14 16:33:56,CETELI_WIFI,26:A4:3C:D1:00:24,-84,1,coletac1.csv
2023-12-14 16:33:56,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-84,1,coletac1.csv
2023-12-14 16:33:56,VISITANTE_CETELI,36:A4:3C:D1:00:24,-84,1,coletac1.csv
2023-12-14 16:33:56,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-86,1,coletac1.csv
2023-12-14 16:33:56,CETELI_WIFI,26:A4:3C:D1:03:C8,-86,1,coletac1.csv
2023-12-14 16:33:56,CETELI_P&D,56:A4:3C:D1:03:C8,-87,1,coletac1.csv
2023-12-14 16:33:56,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-88,1,coletac1.csv
2023-12-14 16:33:56,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-94,1,coletac1.csv
2023-12-14 16:34:08,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-78,1,coletac1.csv
2023-12-14 16:34:08,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-78,1,coletac1.csv
2023-12-14 16:34:08,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-78,1,coletac1.csv
2023-12-14 16:34:08,dlink-EAD4,10:BE:F5:23:EA:D4,-80,1,coletac1.csv
2023-12-14 16:34:08,VISITANTE_CETELI,36:A4:3C:D1:00:24,-81,1,coletac1.csv
2023-12-14 16:34:08,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-82,1,coletac1.csv
2023-12-14 16:34:08,CETELI_P&D,56:A4:3C:D1:00:24,-83,1,coletac1.csv
2023-12-14 16:34:08,CETELI_WIFI,26:A4:3C:D1:00:24,-83,1,coletac1.csv
2023-12-14 16:34:08,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-84,1,coletac1.csv
2023-12-14 16:34:08,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-84,1,coletac1.csv
2023-12-14 16:34:08,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-85,1,coletac1.csv
2023-12-14 16:34:08,CETELI_WIFI,26:A4:3C:D1:03:C8,-85,1,coletac1.csv
2023-12-14 16:34:08,CETELI_P&D,56:A4:3C:D1:03:C8,-86,1,coletac1.csv
2023-12-14 16:34:08,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-86,1,coletac1.csv
2023-12-14 16:34:08,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-87,1,coletac1.csv
2023-12-14 16:34:08,CETELI_P&D,56:A4:3C:D1:AC:68,-91,1,coletac1.csv
2023-12-14 16:34:08,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-91,1,coletac1.csv
2023-12-14 16:34:08,CETELI_WIFI,26:A4:3C:D1:AC:68,-93,1,coletac1.csv
2023-12-14 16:34:20,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-72,1,coletac1.csv
2023-12-14 16:34:20,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-72,1,coletac1.csv
2023-12-14 16:34:20,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-80,1,coletac1.csv
2023-12-14 16:34:20,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-81,1,coletac1.csv
2023-12-14 16:34:20,dlink-EAD4,10:BE:F5:23:EA:D4,-82,1,coletac1.csv
2023-12-14 16:34:20,CETELI_P&D,56:A4:3C:D1:00:24,-83,1,coletac1.csv
2023-12-14 16:34:20,CETELI_WIFI,26:A4:3C:D1:00:24,-84,1,coletac1.csv
2023-12-14 16:34:20,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-84,1,coletac1.csv
2023-12-14 16:34:21,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-85,1,coletac1.csv
2023-12-14 16:34:21,VISITANTE_CETELI,36:A4:3C:D1:00:24,-86,1,coletac1.csv
2023-12-14 16:34:21,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-87,1,coletac1.csv
2023-12-14 16:34:21,CETELI_WIFI,26:A4:3C:D1:03:C8,-88,1,coletac1.csv
2023-12-14 16:34:21,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-88,1,coletac1.csv
2023-12-14 16:34:21,CETELI_P&D,56:A4:3C:D1:03:C8,-88,1,coletac1.csv
2023-12-14 16:34:21,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-89,1,coletac1.csv
2023-12-14 16:13:50,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-70,1,coletac1.1.csv
2023-12-14 16:13:50,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-70,1,coletac1.1.csv
2023-12-14 16:13:50,CETELI_WIFI,26:A4:3C:D1:00:24,-76,1,coletac1.1.csv
2023-12-14 16:13:50,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-76,1,coletac1.1.csv
2023-12-14 16:13:50,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-77,1,coletac1.1.csv
2023-12-14 16:13:50,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-77,1,coletac1.1.csv
2023-12-14 16:13:50,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-80,1,coletac1.1.csv
2023-12-14 16:13:50,VISITANTE_CETELI,36:A4:3C:D1:00:24,-83,1,coletac1.1.csv
2023-12-14 16:13:50,CETELI_P&D,56:A4:3C:D1:00:24,-83,1,coletac1.1.csv
2023-12-14 16:13:50,dlink-EAD4,10:BE:F5:23:EA:D4,-83,1,coletac1.1.csv
2023-12-14 16:13:50,CETELI_WIFI,26:A4:3C:D1:03:C8,-84,1,coletac1.1.csv
2023-12-14 16:13:50,CETELI_P&D,56:A4:3C:D1:03:C8,-85,1,coletac1.1.csv
2023-12-14 16:13:50,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-85,1,coletac1.1.csv
2023-12-14 16:13:50,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-86,1,coletac1.1.csv
2023-12-14 16:13:50,LAB_IND-4.0,C0:C9:E3:4C:1F:DA,-86,1,coletac1.1.csv
2023-12-14 16:13:50,CETELI_P&D,56:A4:3C:D1:AC:68,-87,1,coletac1.1.csv
2023-12-14 16:13:50,CETELI_WIFI,26:A4:3C:D1:AC:68,-87,1,coletac1.1.csv
2023-12-14 16:14:02,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-72,1,coletac1.1.csv
2023-12-14 16:14:02,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-73,1,coletac1.1.csv
2023-12-14 16:14:02,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-75,1,coletac1.1.csv
2023-12-14 16:14:02,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-76,1,coletac1.1.csv
2023-12-14 16:14:02,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-79,1,coletac1.1.csv
2023-12-14 16:14:02,dlink-EAD4,10:BE:F5:23:EA:D4,-81,1,coletac1.1.csv
2023-12-14 16:14:02,CETELI_P&D,56:A4:3C:D1:00:24,-82,1,coletac1.1.csv
2023-12-14 16:14:02,CETELI_WIFI,26:A4:3C:D1:00:24,-83,1,coletac1.1.csv
2023-12-14 16:14:02,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-83,1,coletac1.1.csv
2023-12-14 16:14:02,VISITANTE_CETELI,36:A4:3C:D1:00:24,-83,1,coletac1.1.csv
2023-12-14 16:14:02,CETELI_WIFI,26:A4:3C:D1:03:C8,-84,1,coletac1.1.csv
2023-12-14 16:14:02,CETELI_P&D,56:A4:3C:D1:03:C8,-84,1,coletac1.1.csv
2023-12-14 16:14:02,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-86,1,coletac1.1.csv
2023-12-14 16:14:02,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-89,1,coletac1.1.csv
2023-12-14 16:14:02,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-89,1,coletac1.1.csv
2023-12-14 16:14:02,CETELI_TREINAMENTOS,46:A4:3C:D1:AC:68,-89,1,coletac1.1.csv
2023-12-14 16:14:02,CETELI_P&D,56:A4:3C:D1:AC:68,-89,1,coletac1.1.csv
2023-12-14 16:14:02,CETELI_WIFI,26:A4:3C:D1:AC:68,-92,1,coletac1.1.csv
2023-12-14 16:14:14,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-71,1,coletac1.1.csv
2023-12-14 16:14:14,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-72,1,coletac1.1.csv
2023-12-14 16:14:14,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-73,1,coletac1.1.csv
2023-12-14 16:14:14,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-76,1,coletac1.1.csv
2023-12-14 16:14:14,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-80,1,coletac1.1.csv
2023-12-14 16:14:14,VISITANTE_CETELI,36:A4:3C:D1:00:24,-80,1,coletac1.1.csv
2023-12-14 16:14:14,CETELI_P&D,56:A4:3C:D1:00:24,-80,1,coletac1.1.csv
2023-12-14 16:14:14,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-80,1,coletac1.1.csv
2023-12-14 16:14:14,CETELI_WIFI,26:A4:3C:D1:00:24,-81,1,coletac1.1.csv
2023-12-14 16:14:14,dlink-EAD4,10:BE:F5:23:EA:D4,-83,1,coletac1.1.csv
2023-12-14 16:14:14,CETELI_WIFI,26:A4:3C:D1:03:C8,-86,1,coletac1.1.csv
2023-12-14 16:14:14,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-87,1,coletac1.1.csv
2023-12-14 16:14:14,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-87,1,coletac1.1.csv
2023-12-14 16:14:14,CETELI_P&D,56:A4:3C:D1:AC:68,-89,1,coletac1.1.csv
2023-12-14 16:14:14,TPV,50:D4:F7:2D:16:6C,-89,1,coletac1.1.csv
2023-12-14 16:14:14,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-90,1,coletac1.1.csv
2023-12-14 16:14:14,CETELI_TREINAMENTOS,46:A4:3C:D1:AC:68,-91,1,coletac1.1.csv
2023-12-14 16:14:27,WP3-CETELI-3-IoT,28:EE:52:50:11:49,-73,1,coletac1.1.csv
2023-12-14 16:14:27,Lab_IoT_VISITANTE,2A:EE:52:50:11:49,-75,1,coletac1.1.csv
2023-12-14 16:14:27,Sala07_tplink2G,F4:F2:6D:B3:A0:F9,-76,1,coletac1.1.csv
2023-12-14 16:14:27,WP3-CETELI-2-IA,C0:C9:E3:4C:23:C1,-78,1,coletac1.1.csv
2023-12-14 16:14:27,CETELI_TREINAMENTOS,46:A4:3C:D1:00:24,-79,1,coletac1.1.csv
2023-12-14 16:14:27,VISITANTE_CETELI,36:A4:3C:D1:00:24,-80,1,coletac1.1.csv
2023-12-14 16:14:27,CETELI_WIFI,26:A4:3C:D1:00:24,-83,1,coletac1.1.csv
2023-12-14 16:14:27,VISITANTE_CETELI,36:A4:3C:D1:03:C8,-84,1,coletac1.1.csv
2023-12-14 16:14:27,Project-CP-Lab-2_4GHz,B0:95:75:41:EB:69,-84,1,coletac1.1.csv
2023-12-14 16:14:27,CETELI_P&D,56:A4:3C:D1:00:24,-84,1,coletac1.1.csv
2023-12-14 16:14:27,CETELI_TREINAMENTOS,46:A4:3C:D1:03:C8,-86,1,coletac1.1.csv
2023-12-14 16:14:27,CETELI_P&D,56:A4:3C:D1:03:C8,-86,1,coletac1.1.csv
2023-12-14 16:14:27,dlink-EAD4,10:BE:F5:23:EA:D4,-88,1,coletac1.1.csv
2023-12-14 16:14:27,VISITANTE_CETELI,36:A4:3C:D1:AC:68,-89,1,coletac1.1.csv
2023-12-14 16:14:27,CETELI_P&D,56:A4:3C:D1:AC:68,-89,1,coletac1.1.csv
